Player,Teams,Matches,Inns,Balls,Overs,Mdns,Runs,Wkts,Average,Econ,Strike Rate,4 wickets in a match,5 Wickets in match
Mohammed Shami (GT),Gujarat Titans,17,17,390,65,2,522,28,18.64,8.03,13.92,2,-
MM Sharma (GT),Gujarat Titans,14,14,265,44.1,-,361,27,13.37,8.17,9.81,2,1
Rashid Khan (GT),Gujarat Titans,17,17,402,67,-,552,27,20.44,8.23,14.88,1,-
PP Chawla (MI),Mumbai Indians,16,16,366,61,-,495,22,22.5,8.11,16.63,-,-
YS Chahal (RR),Rajasthan Royals,14,14,317,52.5,-,432,21,20.57,8.17,15.09,3,-
TU Deshpande (CSK),Chennai Super Kings,16,16,341,56.5,-,564,21,26.85,9.92,16.23,-,-
CV Varun (KKR),Kolkata Knight Riders,14,14,316,52.4,1,429,20,21.45,8.14,15.8,1,-
RA Jadeja (CSK),Chennai Super Kings,16,16,342,57,-,431,20,21.55,7.56,17.1,-,-
M Pathirana (CSK),Chennai Super Kings,12,12,278,46.2,-,371,19,19.52,8,14.63,-,-
Mohammed Siraj (RCB),Royal Challengers Bangalore,14,14,300,50,-,375,19,19.73,7.5,15.78,1,-
Arshdeep Singh (PBKS),Punjab Kings,14,14,305,50.5,-,493,17,29,9.69,17.94,1,-
Noor Ahmad (GT),Gujarat Titans,13,13,283,47.1,-,369,16,23.06,7.82,17.68,-,-
Ravi Bishnoi (LSG),Lucknow Super Giants,15,14,303,50.3,-,391,16,24.43,7.74,18.93,-,-
B Kumar (SRH),Sunrisers Hyderabad,14,14,306,51,1,425,16,26.56,8.33,19.12,-,1
A Madhwal (MI),Mumbai Indians,8,8,153,25.3,-,219,14,15.64,8.58,10.92,1,1
R Ashwin (RR),Rajasthan Royals,13,13,294,49,-,368,14,26.28,7.51,21,-,-
JP Behrendorff (MI),Mumbai Indians,12,12,252,42,-,387,14,27.64,9.21,18,-,-
HV Patel (RCB),Royal Challengers Bangalore,14,13,282,47,-,454,14,32.42,9.65,20.14,-,-
Yash Thakur (LSG),Lucknow Super Giants,9,9,191,31.5,-,289,13,22.23,9.07,14.69,1,-
DL Chahar (CSK),Chennai Super Kings,10,10,204,34,-,297,13,22.84,8.73,15.69,-,-
TA Boult (RR),Rajasthan Royals,10,10,228,38,3,312,13,24,8.21,17.53,-,-
NT Ellis (PBKS),Punjab Kings,10,10,228,38,-,339,13,26.07,8.92,17.53,1,-
MR Marsh (DC),Delhi Capital,9,8,121,20.1,1,170,12,14.16,8.42,10.08,1,-
M Markande (SRH),Sunrisers Hyderabad,10,10,228,38,-,300,12,25,7.89,19,1,-
MA Wood (LSG),Lucknow Super Giants,4,4,96,16,1,130,11,11.81,8.12,8.72,-,1
Naveen-ul-Haq (LSG),Lucknow Super Giants,8,7,168,28,-,219,11,19.9,7.82,15.27,1,-
AR Patel (DC),Delhi Capital,14,13,282,47,-,338,11,30.72,7.19,25.63,-,-
SP Narine (KKR),Kolkata Knight Riders,14,14,288,48,-,383,11,34.81,7.97,26.18,-,-
M Theekshana (CSK),Chennai Super Kings,13,13,294,49,1,392,11,35.63,8,26.72,-,-
I Sharma (DC),Delhi Capital,8,8,150,25,-,206,10,20.6,8.24,15,-,-
KV Sharma (RCB),Royal Challengers Bangalore,7,7,129,21.3,-,223,10,22.3,10.37,12.9,-,-
M Jansen (SRH),Sunrisers Hyderabad,8,8,162,27,1,267,10,26.7,9.88,16.2,-,-
Suyash Sharma (KKR),Kolkata Knight Riders,11,11,234,39,-,321,10,32.1,8.23,23.4,-,-
Kuldeep Yadav (DC),Delhi Capital,14,14,294,49,1,361,10,36.1,7.36,29.4,-,-
A Nortje (DC),Delhi Capital,10,10,240,40,-,364,10,36.4,9.1,24,-,-
Sandeep Sharma (RR),Rajasthan Royals,12,12,276,46,-,396,10,39.6,8.6,27.6,-,-
T Natarajan (SRH),Sunrisers Hyderabad,12,12,270,45,-,410,10,41,9.11,27,-,-
SM Curran (PBKS),Punjab Kings,14,14,287,47.5,-,489,10,48.9,10.22,28.7,-,-
MM Ali (CSK),Chennai Super Kings,15,11,156,26,-,195,9,21.66,7.5,17.33,1,-
Harpreet Brar (PBKS),Punjab Kings,13,11,163,27.1,-,218,9,24.22,8.02,18.11,1,-
WD Parnell (RCB),Royal Challengers Bangalore,7,7,151,25.1,-,236,9,26.22,9.37,16.77,-,-
V Vyshak (RCB),Royal Challengers Bangalore,7,7,144,24,-,253,9,28.11,10.54,16,-,-
PW Hasaranga (RCB),Royal Challengers Bangalore,8,8,174,29,-,258,9,28.66,8.89,19.33,-,-
KK Ahmed (DC),Delhi Capital,9,9,198,33,2,301,9,33.44,9.12,22,-,-
KH Pandya (LSG),Lucknow Super Giants,15,12,252,42,-,313,9,34.77,7.45,28,-,-
A Zampa (RR),Rajasthan Royals,6,6,132,22,-,188,8,23.5,8.54,16.5,-,-
Avesh Khan (LSG),Lucknow Super Giants,9,9,174,29,-,283,8,35.37,9.75,21.75,-,-
RD Chahar (PBKS),Punjab Kings,14,14,298,49.4,-,385,8,48.12,7.75,37.25,-,-
A Mishra (LSG),Lucknow Super Giants,7,7,114,19,-,149,7,21.28,7.84,16.28,-,-
AD Russell (KKR),Kolkata Knight Riders,14,9,91,15.1,-,172,7,24.57,11.34,13,-,-
RP Meredith (MI),Mumbai Indians,5,5,118,19.4,-,207,7,29.57,10.52,16.85,-,-
SN Thakur (KKR),Kolkata Knight Riders,11,9,126,21,-,220,7,31.42,10.47,18,-,-
AS Joseph (GT),Gujarat Titans,7,7,144,24,-,225,7,32.14,9.37,20.57,-,-
K Rabada (PBKS),Punjab Kings,6,6,138,23,-,232,7,33.14,10.08,19.71,-,-
JB Little (GT),Gujarat Titans,10,10,204,34,-,294,7,42,8.64,29.14,-,-
Mukesh Kumar (DC),Delhi Capital,10,10,186,31,-,326,7,46.57,10.51,26.57,-,-
MG Bracewell (RCB),Royal Challengers Bangalore,5,5,66,11,-,95,6,15.83,8.63,11,-,-
C Green (MI),Mumbai Indians,16,16,228,38,-,361,6,60.16,9.5,38,-,-
MP Stoinis (LSG),Lucknow Super Giants,15,5,65,10.5,-,100,5,20,9.23,13,-,-
VG Arora (KKR),Kolkata Knight Riders,5,5,96,16,-,146,5,29.2,9.12,19.2,-,-
Harshit Rana (KKR),Kolkata Knight Riders,6,6,102,17,-,147,5,29.4,8.64,20.4,-,-
Akash Singh (CSK),Chennai Super Kings,6,6,114,19,-,188,5,37.6,9.89,22.8,-,-
Arshad Khan (MI),Mumbai Indians,6,6,85,14.1,-,190,5,38,13.41,17,-,-
Umran Malik (SRH),Sunrisers Hyderabad,8,8,120,20,-,217,5,43.4,10.85,24,-,-
K Kartikeya (MI),Mumbai Indians,8,8,156,26,-,227,5,45.4,8.73,31.2,-,-
Fazalhaq Farooqi (SRH),Sunrisers Hyderabad,4,4,80,13.2,-,117,4,29.25,8.77,20,-,-
JO Holder (RR),Rajasthan Royals,8,8,171,28.3,-,284,4,71,9.96,42.75,-,-
RS Hangargekar (CSK),Chennai Super Kings,2,2,36,6,-,60,3,20,10,12,-,-
AS Roy (KKR),Kolkata Knight Riders,4,3,48,8,-,65,3,21.66,8.12,16,-,-
Yudhvir Singh (LSG),Lucknow Super Giants,3,3,48,8,-,70,3,23.33,8.75,16,-,-
NA Saini (RR),Rajasthan Royals,2,2,36,6,-,74,3,24.66,12.33,12,-,-
N Rana (KKR),Kolkata Knight Riders,14,6,53,8.5,-,75,3,25,8.49,17.66,-,-
JR Hazlewood (RCB),Royal Challengers Bangalore,3,3,54,9,-,76,3,25.33,8.44,18,-,-
MJ Santner (CSK),Chennai Super Kings,3,3,72,12,-,81,3,27,6.75,24,-,-
C Sakariya (DC),Delhi Capital,2,2,48,8,-,89,3,29.66,11.12,16,-,-
AS Tendulkar (MI),Mumbai Indians,4,4,59,9.5,-,92,3,30.66,9.35,19.66,-,-
GJ Maxwell (RCB),Royal Challengers Bangalore,14,7,62,10.2,-,94,3,31.33,9.09,20.66,-,-
DJ Willey (RCB),Royal Challengers Bangalore,4,4,90,15,1,105,3,35,7,30,-,-
