Match No,Batsman,Team,Total Runs,Balls,4s,6s
1,Devon Conway,Chennai Super Kings,508,365,57,15
2,Ajinkya Rahane,Chennai Super Kings,282,166,22,13
3,Ambati Raydu,Chennai Super Kings,122,96,8,6
4,Ben Stokes,Chennai Super Kings,15,14,2,0
5,Deepak Chahar,Chennai Super Kings,1,2,0,0
6,Mitchell Santner,Chennai Super Kings,2,4,0,0
7,Moeen Ali,Chennai Super Kings,115,87,12,5
8,MS Dhoni,Chennai Super Kings,103,54,3,10
9,Ravindra Jadeja,Chennai Super Kings,153,111,8,8
10,Ruturaj Gaikwad,Chennai Super Kings,581,397,48,29
11,Shivam Dube,Chennai Super Kings,385,240,12,33
12,Tushar Deshpande,Chennai Super Kings,0,1,0,0
13,Abishek Porel,Delhi Capitals,33,31,1,0
14,Aman Hakim Khan,Delhi Capitals,110,101,7,6
,Anrich Nortje,Delhi Capitals,37,29,6,0
,Axar Patel,Delhi Capitals,283,203,21,12
,Chetan Sakariya,Delhi Capitals,4,6,1,0
,David Warner,Delhi Capitals,516,392,69,10
,Ishant Sharma,Delhi Capitals,1,1,0,0
,Kuldeep Yadav,Delhi Capitals,31,48,2,0
,Lalit Yadav,Delhi Capitals,66,59,8,0
,Manish Pandey,Delhi Capitals,160,146,15,3
,Mitchell Marsh,Delhi Capitals,128,97,11,7
,Mukesh Kumar,Delhi Capitals,9,9,0,0
,Mustafizhur Rehman,Delhi Capitals,1,1,0,0
,Philip  Salt,Delhi Capitals,218,133,24,10
,Praveen Dubey,Delhi Capitals,16,20,2,0
,Prithvi Shaw,Delhi Capitals,94,76,14,1
,Priyam Garg,Delhi Capitals,22,23,1,0
,Rilee Rossouw,Delhi Capitals,209,141,17,11
,Ripal Patel,Delhi Capitals,49,43,3,1
,Rovman Powell,Delhi Capitals,7,9,1,0
,Sarfaraz Khan,Delhi Capitals,43,52,4,1
,Yash Dhull,Delhi Capitals,16,23,1,0
,Abhinav Manohar,Gujarat Titans,114,83,6,7
,Alzarri Joseph,Gujarat Titans,7,12,1,0
,Dhasun Shanaka,Gujarat Titans,9,10,1,0
,David Miller,Gujarat Titans,255,172,18,13
,Hardik Pandya ,Gujarat Titans,281,210,23,11
,Mohammad Shami,Gujarat Titans,0,1,0,0
,Mohit Sharma,Gujarat Titans,0,1,0,0
,Noor Ahmed ,Gujarat Titans,1,4,0,0
,Rahul Tewatia,Gujarat Titans,69,38,2,6
,Rashid Khan,Gujarat Titans,85,37,3,10
,Sai Sudharsan,Gujarat Titans,201,161,17,5
,Shubman Gill,Gujarat Titans,617,410,61,19
,Vijay Shankar,Gujarat Titans,260,157,25,13
,Wridhiman Shah,Gujarat Titans,262,205,35,5
,Andrea Russell,Kolkata Knight Riders,192,137,10,16
