match_no,Batsman,team,Run,Ball,4s,6s,out_by,Opposite Team
1,Devon Conway,Chennai Super Kings,1,6,0,0,Mohammed Shami,Gujarat Titans
1,Ruturaj Gaikwad,Chennai Super Kings,92,50,4,9,Alzarri Joseph,Gujarat Titans
1,Moeen Ali,Chennai Super Kings,23,17,4,1,Rashid Khan,Gujarat Titans
1,Ben Stokes,Chennai Super Kings,7,6,1,0,Rashid Khan,Gujarat Titans
1,Ambati Rayudu,Chennai Super Kings,12,12,0,1,Joshua Little,Gujarat Titans
1,Shivam Dube,Chennai Super Kings,19,18,0,1,Mohammed Shami,Gujarat Titans
1,Ravindra Jadeja,Chennai Super Kings,1,2,0,0,Alzarri Joseph,Gujarat Titans
1,MS Dhoni,Chennai Super Kings,14,7,1,1,Not Out,Gujarat Titans
1,Mitchell Santner,Chennai Super Kings,1,3,0,0,Not Out,Gujarat Titans
1,Wriddhiman Saha,Gujarat Titans,25,16,2,2,Rajvardhan Hangargekar,Chennai Super Kings
1,Shubman Gill,Gujarat Titans,63,36,6,3,Tushar Deshpande,Chennai Super Kings
1,Sai Sudharsan,Gujarat Titans,22,17,3,0,Rajvardhan Hangargekar,Chennai Super Kings
1,Hardik Pandya,Gujarat Titans,8,11,0,0,Ravindra Jadeja,Chennai Super Kings
1,Vijay Shankar,Gujarat Titans,27,21,2,1,Rajvardhan Hangargekar,Chennai Super Kings
1,Rahul Tewatia,Gujarat Titans,15,14,1,1,Not Out,Chennai Super Kings
1,Rashid Khan,Gujarat Titans,10,3,1,1,Not Out,Chennai Super Kings
2,Prabhsimran Singh,Punjab Kings,23,12,2,2,Tim Southee,Kolkata  Knight Riders
2,Shikhar Dhawan,Punjab Kings,40,29,6,0,Varun Chakaravarthy,Kolkata  Knight Riders
2,Bhanuka Rajapaksa,Punjab Kings,50,32,5,2,Umesh Yadav,Kolkata  Knight Riders
2,Jitesh Sharma,Punjab Kings,21,11,1,2,Tim Southee,Kolkata  Knight Riders
2,Sikandar Raza,Punjab Kings,16,13,1,1,Sunil Narine,Kolkata  Knight Riders
2,Sam Curran,Punjab Kings,26,17,0,2,Not Out,Kolkata  Knight Riders
2,Shahrukh Khan,Punjab Kings,11,7,2,0,Not Out,Kolkata  Knight Riders
2,Mandeep Singh,Kolkata Knight Riders,2,4,0,0,Arshdeep Singh,Punjab Kings
2,Rahmanullah Gurbaz,Kolkata Knight Riders,22,16,3,1,Nathan Ellis,Punjab Kings
2,Anukul Roy,Kolkata Knight Riders,4,5,1,0,Arshdeep Singh,Punjab Kings
2,Venkatesh Iyer,Kolkata Knight Riders,34,28,3,1,Arshdeep Singh,Punjab Kings
2,Nitish Rana,Kolkata Knight Riders,24,17,3,1,Sikandar Raza,Punjab Kings
2,Rinku Singh,Kolkata Knight Riders,4,4,0,0,Rahul Chahar,Punjab Kings
