match_no,Bowler,team,over,run,wicket,No_ball,ECO,Opposition Team
1,Mohammed Shami,Gujarat Titans,4,29,2,1,7.3,Chennai Super Kings
1,Hardik Pandya,Gujarat Titans,3,28,0,0,9.3,Chennai Super Kings
1,Joshua Little,Gujarat Titans,4,41,1,0,10.3,Chennai Super Kings
1,Rashid Khan,Gujarat Titans,4,26,2,0,6.5,Chennai Super Kings
1,Alzarri Joseph,Gujarat Titans,4,33,2,0,8.3,Chennai Super Kings
1,Yash Dayal,Gujarat Titans,1,14,0,0,14,Chennai Super Kings
1,Deepak Chahar,Chennai Super Kings,4,29,0,0,7.3,Gujarat Titans
1,Tushar Deshpande,Chennai Super Kings,3.2,51,1,1,15.9,Gujarat Titans
1,Rajvardhan Hangargekar,Chennai Super Kings,4,36,3,1,9,Gujarat Titans
1,Mitchell Santner,Chennai Super Kings,4,32,0,0,8,Gujarat Titans
1,Ravindra Jadeja,Chennai Super Kings,4,28,1,0,7,Gujarat Titans
2,Umesh Yadav,Kolkata Knight Riders,4,27,1,0,6.8,Punjab Kings
2,Tim Southee,Kolkata Knight Riders,4,54,2,0,13.5,Punjab Kings
2,Sunil Narine,Kolkata Knight Riders,4,40,1,0,10,Punjab Kings
2,Varun Chakaravarthy,Kolkata Knight Riders,4,26,1,0,6.5,Punjab Kings
2,Shardul Thakur,Kolkata Knight Riders,4,43,0,1,10.8,Punjab Kings
2,Sam Curran,Punjab Kings,3,38,1,0,12.7,Kolkata Knight Riders
2,Arshdeep Singh,Punjab Kings,3,19,3,0,6.3,Kolkata Knight Riders
2,Nathan Ellis,Punjab Kings,3,27,1,2,9,Kolkata Knight Riders
2,Sikandar Raza,Punjab Kings,3,25,1,0,8.3,Kolkata Knight Riders
2,Rishi Dhawan,Punjab Kings,1,15,0,0,15,Kolkata Knight Riders
2,Rahul Chahar,Punjab Kings,2,12,1,0,6,Kolkata Knight Riders
2,Harpreet Brar,Punjab Kings,1,7,0,0,7,Kolkata Knight Riders
3,Kyle Mayers,Lucknow Super Giants,1,7,0,0,7,Delhi Capitals
3,Jaydev Unadkat,Lucknow Super Giants,3,39,0,0,13,Delhi Capitals
3,Krishnappa Gowtham,Lucknow Super Giants,4,23,0,0,5.8,Delhi Capitals
